Ensembl,Genes,biotype,lr_proba_positive,rf_proba_positive,svm_proba_positive,min_proba,mean_proba
ENSG00000227125,AP002856.1,lncRNA,0.9999999999999976,0.9667741144693802,0.9999999999999699,0.9667741144693802,0.9889247048231159
ENSG00000234277,LINC01641,lncRNA,0.9999999999999958,0.9483742425768624,0.9999999999999699,0.9483742425768624,0.9827914141922761
ENSG00000231510,LINC02782,lncRNA,0.999999999999992,0.9408453345084489,0.9999999999999699,0.9408453345084489,0.9802817781694703
ENSG00000266196,AC090506.1,lncRNA,0.9999999999999833,0.9408453345084489,0.9999999999999699,0.9408453345084489,0.9802817781694674
ENSG00000235172,LINC01366,lncRNA,0.9999999999999829,0.9578382806085498,0.9999999999999699,0.9578382806085498,0.9859460935361675
ENSG00000204054,LINC00963,lncRNA,0.9999999999999749,0.9268382540082414,0.9999999999999699,0.9268382540082414,0.9756127513360621
ENSG00000248682,ARHGAP22-IT1,lncRNA,0.9999999999999725,0.9288781677265848,0.9999999999999699,0.9288781677265848,0.976292722575509
ENSG00000125804,FAM182A,lncRNA,0.999999999999964,0.9521755889510954,0.9999999999999699,0.9521755889510954,0.9840585296503431
ENSG00000234210,AC006372.3,lncRNA,0.9999999999999472,0.9521755889510954,0.9999999999999699,0.9521755889510954,0.9840585296503375
ENSG00000229294,AL139294.1,lncRNA,0.9999999999999429,0.9608347213313622,0.9999999999999699,0.9608347213313622,0.9869449071104249
ENSG00000228777,LINC02534,lncRNA,0.9999999999999198,0.927071716964043,0.9999999999999699,0.927071716964043,0.975690572321311
ENSG00000242880,AC026341.1,lncRNA,0.9999999999999176,0.9253816763808138,0.9999999999999699,0.9253816763808138,0.9751272254602338
ENSG00000213599,SLX1A-SULT1A3,lncRNA,0.9999999999999138,0.9311523354116351,0.9999999999999699,0.9311523354116351,0.9770507784705064
ENSG00000287866,AC009102.4,lncRNA,0.9999999999999016,0.9483742425768624,0.9999999999999699,0.9483742425768624,0.9827914141922447
ENSG00000255389,Z97989.1,lncRNA,0.9999999999998928,0.9455194064937064,0.9999999999999699,0.9455194064937064,0.981839802164523
ENSG00000287653,AL355597.1,lncRNA,0.9999999999998865,0.9205588581864811,0.9999999999999699,0.9205588581864811,0.9735196193954457
ENSG00000286154,AC009974.2,lncRNA,0.9999999999998808,0.9326858792913769,0.9999999999999699,0.9326858792913769,0.9775619597637425
ENSG00000286216,AC104335.1,lncRNA,0.999999999999879,0.9176391824361051,0.9999999999999699,0.9176391824361051,0.972546394145318
ENSG00000281769,LINC01230,lncRNA,0.9999999999998617,0.9232395378830667,0.9999999999999699,0.9232395378830667,0.9744131792942995
ENSG00000261126,RBFADN,lncRNA,0.9999999999998452,0.9428961072627053,0.9999999999999699,0.9428961072627053,0.9809653690875068
ENSG00000235200,LINC01702,lncRNA,0.999999999999845,0.9354417975879205,0.9999999999999699,0.9354417975879205,0.9784805991959118
ENSG00000277797,AL359693.1,lncRNA,0.9999999999998397,0.9442194769358082,0.9999999999999699,0.9442194769358082,0.9814064923118725
ENSG00000288662,AC092910.4,lncRNA,0.9999999999998319,0.9268382540082414,0.9999999999999699,0.9268382540082414,0.9756127513360143
ENSG00000277152,AC110048.2,lncRNA,0.9999999999998144,0.9020543071177964,0.9999999999999699,0.9020543071177964,0.9673514357058602
ENSG00000261578,AP003119.3,lncRNA,0.9999999999997722,0.9502608251172769,0.9999999999999699,0.9502608251172769,0.9834202750390063
ENSG00000237011,AL357793.2,lncRNA,0.9999999999997677,0.9176391824361051,0.9999999999999699,0.9176391824361051,0.9725463941452809
ENSG00000259058,AF111169.2,lncRNA,0.999999999999752,0.9508144936188342,0.9999999999999699,0.9508144936188342,0.9836048312061854
ENSG00000264265,LINC01925,lncRNA,0.9999999999997438,0.9372504552549811,0.9999999999999699,0.9372504552549811,0.9790834850848982
ENSG00000250582,SMAD1-AS2,lncRNA,0.9999999999997435,0.9316484483002992,0.9999999999999699,0.9316484483002992,0.9772161494333376
ENSG00000274996,AC006449.1,lncRNA,0.9999999999997238,0.9521755889510954,0.9999999999999699,0.9521755889510954,0.984058529650263
ENSG00000275393,AC018695.6,lncRNA,0.9999999999997198,0.9420032697061259,0.9999999999999699,0.9420032697061259,0.9806677565686052
ENSG00000254377,MIR124-2HG,lncRNA,0.9999999999997178,0.9428961072627053,0.9999999999999699,0.9428961072627053,0.9809653690874643
ENSG00000250034,AC131956.1,lncRNA,0.9999999999996829,0.9162213384472196,0.9999999999999699,0.9162213384472196,0.9720737794822908
ENSG00000234721,LINC02092,lncRNA,0.9999999999996794,0.9499848486115422,0.9999999999999699,0.9499848486115422,0.9833282828703971
ENSG00000258824,AL122035.1,lncRNA,0.9999999999996785,0.9209758194756739,0.9999999999999699,0.9209758194756739,0.973658606491774
ENSG00000237756,AL592435.1,lncRNA,0.9999999999996698,0.9408453345084489,0.9999999999999699,0.9408453345084489,0.9802817781693629
ENSG00000276529,AP001505.1,lncRNA,0.99999999999966,0.9480444456097564,0.9999999999999699,0.9480444456097564,0.9826814818697954
ENSG00000234696,GPR50-AS1,lncRNA,0.9999999999996587,0.9078170518916676,0.9999999999999699,0.9078170518916676,0.969272350630432
ENSG00000287537,AC020612.4,lncRNA,0.9999999999996549,0.9389131335873594,0.9999999999999699,0.9389131335873594,0.9796377111956613
ENSG00000224017,LINC01449,lncRNA,0.9999999999996503,0.9325423000662776,0.9999999999999699,0.9325423000662776,0.9775141000219659
ENSG00000286833,AC097532.3,lncRNA,0.9999999999996363,0.9621798224451926,0.9999999999999699,0.9621798224451926,0.9873932741482663
ENSG00000271334,LINC02104,lncRNA,0.9999999999996214,0.937186398016901,0.9999999999999699,0.937186398016901,0.9790621326721641
ENSG00000237233,TMEM26-AS1,lncRNA,0.9999999999995928,0.9308625315944371,0.9999999999999699,0.9308625315944371,0.9769541771979999
ENSG00000228384,AC007040.1,lncRNA,0.9999999999995821,0.946944259708701,0.9999999999999699,0.946944259708701,0.9823147532360843
ENSG00000260401,AP002761.4,lncRNA,0.9999999999995821,0.9402459799573726,0.9999999999999699,0.9402459799573726,0.9800819933189748
ENSG00000286513,AC010982.2,lncRNA,0.9999999999995817,0.9578382806085498,0.9999999999999699,0.9578382806085498,0.9859460935360338
ENSG00000230415,LINC01786,lncRNA,0.9999999999995455,0.9479667344024654,0.9999999999999699,0.9479667344024654,0.9826555781339935
ENSG00000273840,AF254983.1,lncRNA,0.9999999999995313,0.9074375884489736,0.9999999999999699,0.9074375884489736,0.9691458628161582
ENSG00000260879,AL359258.2,lncRNA,0.999999999999508,0.947171236628527,0.9999999999999699,0.947171236628527,0.9823904122093349
ENSG00000287759,AL353151.2,lncRNA,0.9999999999994873,0.9091081891440209,0.9999999999999699,0.9091081891440209,0.9697027297144927
ENSG00000266100,AC007431.2,lncRNA,0.99999999999946,0.9040783892804679,0.9999999999999699,0.9040783892804679,0.9680261297599659
